id,name,price,fePrice,priceDrop,rating,specsScore,stock,brandId,categoryId,connectivity,processor,ram_storage,battery,display,camera,os,extra_note,imageId,url
pd18t6s9idw,Realme P4x 5G,18299,"₹18,299",-9.841353,89,62,UNKNOWN,7096,13,"Dual Sim, 5G, VoLTE, Wi-Fi","Dimensity 7400 Ultra, Octa Core, 2.6 GHz Processor","6 GB RAM, 128 GB inbuilt",7000 mAh Battery with 45W Fast Charging,"6.72 inches, 1080 x 2400 px, 144 Hz Display with Punch Hole",50 MP + 2 MP Dual Rear & 8 MP Front Camera,Android v15,[NO] No FM Radio,fjhyP8J2,https://www.smartprix.com/mobiles/realme-p4x-5g-ppd18t6s9idw
pd1lex9864q,Moto G96 5G,18999,"₹18,999",-2.4110332,92,64,IN_STOCK,4,13,"Dual Sim, 5G, VoLTE, Wi-Fi","Snapdragon 7s Gen2, Octa Core, 2.4 GHz Processor","8 GB RAM, 128 GB inbuilt",5500 mAh Battery with 33W Fast Charging,"6.67 inches, 1080 x 2400 px, 144 Hz Display with Punch Hole",50 MP + 8 MP Dual Rear & 32 MP Front Camera,[NO] Memory Card Not Supported,Android v15,fyyP3Et2,https://www.smartprix.com/mobiles/motorola-moto-g96-5g-ppd1lex9864q
pd1g2rnb2hl,Realme P4 Power 5G,25589,"₹25,589",-1.2593799,95,72,UNKNOWN,7096,13,"Dual Sim, 5G, VoLTE, Wi-Fi, IR Blaster","Dimensity 7400 Ultra, Octa Core, 2.6 GHz Processor","8 GB RAM, 128 GB inbuilt",10001 mAh Battery with 80W Fast Charging,"6.8 inches, 1280 x 2800 px, 144 Hz Display with Punch Hole",50 MP + 8 MP Dual Rear & 16 MP Front Camera,[NO] Memory Card Not Supported,Android v16,IKm35WoB,https://www.smartprix.com/mobiles/realme-p4-power-5g-ppd1g2rnb2hl
pd1z00p8zn9,OnePlus Nord 6 5G (12GB RAM +256GB),48999,"₹48,999",0.0,85,86,ON_SALE,686,13,"Dual Sim, 5G, VoLTE, NFC, Wi-Fi, IR Blaster","Snapdragon 8s Gen4, Octa Core, 3.2 GHz Processor","12 GB RAM, 256 GB inbuilt",9000 mAh Battery with 80W Fast Charging,"6.78 inches, 1272 x 2772 px, 165 Hz Display with Punch Hole",50 MP + 8 MP Dual Rear & 32 MP Front Camera,[NO] Memory Card Not Supported,Android v16,o0MmFSIc,https://www.smartprix.com/mobiles/oneplus-nord-6-5g-12gb-ram-256gb-ppd1z00p8zn9
pd1cai3iqzz,Xiaomi Redmi Turbo 4 Pro,23990,"₹23,990",0.0,84,76,UPCOMING,687,13,"Dual Sim, 5G, VoLTE, NFC, Wi-Fi, IR Blaster","Snapdragon 8s Gen4, Octa Core, 3.2 GHz Processor","12 GB RAM, 256 GB inbuilt",7550 mAh Battery with 90W Fast Charging,"6.83 inches, 1280 x 2772 px, 120 Hz Display with Punch Hole",50 MP + 8 MP Dual Rear & 20 MP Front Camera,Android v15,[NO] No FM Radio,xV8Z9NfY,https://www.smartprix.com/mobiles/xiaomi-redmi-turbo-4-pro-ppd1cai3iqzz
pd1xo1y0bku,Vivo V70 5G,49999,"₹49,999",-5.6226954,83,81,UNKNOWN,5921,13,"Dual Sim, 5G, VoLTE, NFC, Wi-Fi, IR Blaster","Snapdragon 7 Gen4, Octa Core, 2.8 GHz Processor","8 GB RAM, 256 GB inbuilt",6500 mAh Battery with 90W Fast Charging,"6.59 inches, 1260 x 2750 px, 120 Hz Display with Punch Hole",50 MP + 50 MP + 8 MP Triple Rear & 50 MP Front Camera,[NO] Memory Card Not Supported,Android v16,adMR0WTX,https://www.smartprix.com/mobiles/vivo-v70-5g-ppd1xo1y0bku
pd1iqn2o3pg,Moto G57 Power,16948,"₹16,948",-8.037044,86,57,UNKNOWN,4,13,"Dual Sim, 5G, eSIM, Wi-Fi","Snapdragon 6s Gen4, Octa Core, 2.4 GHz Processor","8 GB RAM, 128 GB inbuilt",7000 mAh Battery with 33W Fast Charging,"6.72 inches, 1080 x 2400 px, 120 Hz Display with Punch Hole",50 MP + 8 MP Dual Rear & 8 MP Front Camera,Android v16,Bluetooth,IueyTxll,https://www.smartprix.com/mobiles/motorola-moto-g57-power-ppd1iqn2o3pg
pd1wqac0oep,OnePlus Nord CE 6 Lite 5G (8GB RAM + 256GB),25999,"₹25,999",0.0,95,64,ON_SALE,686,13,"Dual Sim, 5G, VoLTE, Wi-Fi, IR Blaster","Dimensity 7400 Apex, Octa Core, 2.6 GHz Processor","8 GB RAM, 256 GB inbuilt",7000 mAh Battery with 45W Fast Charging,"6.72 inches, 1080 x 2400 px, 144 Hz Display with Punch Hole",50 MP + 2 MP Dual Rear & 8 MP Front Camera,"Memory Card (Hybrid), upto 2 TB",Android v16,HArQgyGG,https://www.smartprix.com/mobiles/oneplus-nord-ce-6-lite-5g-8gb-ram-256gb-ppd1wqac0oep
pd10gt5zsdy,Vivo V80 5G,47999,"₹47,999",0.0,93,81,UPCOMING,5921,13,"Dual Sim, 5G, VoLTE, NFC, Wi-Fi, IR Blaster",Octa Core Processor,"8 GB RAM, 256 GB inbuilt",7000 mAh Battery with 100W Fast Charging,"6.67 inches, 1260 x 2750 px, 144 Hz Display with Punch Hole",50 MP + 50 MP + 50 MP Triple Rear & 50 MP Front Camera,[NO] Memory Card Not Supported,Android v17,LHVFXbq6,https://www.smartprix.com/mobiles/vivo-v80-5g-ppd10gt5zsdy
pd14diby3sa,Samsung Galaxy M17 5G,14499,"₹14,499",-1.9203774,80,54,UNKNOWN,2,13,"Dual Sim, 5G, VoLTE, NFC, Wi-Fi","Exynos 1330, Octa Core, 2.4 GHz Processor","4 GB RAM, 128 GB inbuilt",5000 mAh Battery with 25W Fast Charging,"6.7 inches, 1080 x 2340 px, 90 Hz Display with Water Drop Notch",50 MP + 5 MP + 2 MP Triple Rear & 13 MP Front Camera,"Memory Card (Hybrid), upto 2 TB",Android v15,weESVXCJ,https://www.smartprix.com/mobiles/samsung-galaxy-m17-5g-ppd14diby3sa
pd16yet8j4z,OPPO Reno 14 5G,36999,"₹36,999",5.797552,95,76,IN_STOCK,68,13,"Dual Sim, 5G, VoLTE, Wi-Fi, IR Blaster","Dimensity 8350, Octa Core, 3.35 GHz Processor","8 GB RAM, 256 GB inbuilt",6000 mAh Battery with 80W Fast Charging,"6.59 inches, 1256 x 2760 px, 120 Hz Display with Punch Hole",50 MP + 50 MP + 8 MP Triple Rear & 50 MP Front Camera,Android v15,[NO] No FM Radio,qO31wmEX,https://www.smartprix.com/mobiles/oppo-reno-14-5g-ppd16yet8j4z
pd1ifl43cwc,Samsung Galaxy S25 FE,48780,"₹48,780",1.6000391,94,77,UNKNOWN,2,13,"Dual Sim, 5G, VoLTE, Vo5G, NFC, eSIM, Wi-Fi","Exynos 2400, Deca Core, 3.2 GHz Processor","8 GB RAM, 128 GB inbuilt",4900 mAh Battery with 45W Fast Charging,"6.7 inches, 1080 x 2340 px, 120 Hz Display with Punch Hole",50 MP + 12 MP + 8 MP Triple Rear & 12 MP Front Camera,[NO] Memory Card Not Supported,Android v16,gNNWnxPy,https://www.smartprix.com/mobiles/samsung-galaxy-s25-fe-ppd1ifl43cwc
pd19ok7e1is,Motorola Signature,55475,"₹55,475",-1.6707741,84,93,UNKNOWN,4,13,"Dual Sim, 5G, VoLTE, Vo5G, NFC, Wi-Fi","Snapdragon 8 Gen5, Octa Core, 3.8 GHz Processor","12 GB RAM, 256 GB inbuilt",5200 mAh Battery with 90W Fast Charging,"6.8 inches, 1264 x 2780 px, 165 Hz Display with Punch Hole",50 MP + 50 MP + 50 MP Triple Rear & 50 MP Front Camera,Android v16,[NO] No FM Radio,BnHkrKWF,https://www.smartprix.com/mobiles/motorola-signature-ppd19ok7e1is
pd1f44bz55h,Vivo T5 5G,25990,"₹25,990",0.0,84,63,UPCOMING,5921,13,"Dual Sim, 5G, VoLTE, Wi-Fi","Snapdragon 7s Gen4, Octa Core Processor","8 GB RAM, 128 GB inbuilt",7500 mAh Battery with 100W Fast Charging,"6.67 inches, 1080 x 2400 px, 120 Hz Display with Water Drop Notch",50 MP + 13 MP + 8 MP Triple Rear & 32 MP Front Camera,Android v16,[NO] No FM Radio,P8wcGkpt,https://www.smartprix.com/mobiles/vivo-t5-5g-ppd1f44bz55h
pd1zwtp4lty,iQOO Z11,25990,"₹25,990",0.0,87,71,UPCOMING,8707,13,"Dual Sim, 5G, VoLTE, NFC, Wi-Fi, IR Blaster","Snapdragon 7s Gen4, Octa Core, 2.7 GHz Processor","8 GB RAM, 256 GB inbuilt",9020 mAh Battery with 90W Fast Charging,"6.83 inches, 1260 x 2800 px, 144 Hz Display with Punch Hole",50 MP Rear & 32 MP Front Camera,[NO] Memory Card Not Supported,Android v16,rrhcMOc5,https://www.smartprix.com/mobiles/iqoo-z11-ppd1zwtp4lty
pd1n43i34jv,Samsung Galaxy S26 Ultra 5G,130999,"₹1,30,999",-2.6515608,89,94,UNKNOWN,2,13,"Dual Sim, 5G, VoLTE, Vo5G, NFC, eSIM, Wi-Fi","Snapdragon 8 Elite Gen 5 for Galaxy, Octa Core, 4.74 GHz Processor","12 GB RAM, 256 GB inbuilt",5000 mAh Battery with 60W Fast Charging,"6.9 inches, 1440 x 3120 px, 120 Hz Display with Punch Hole",200 MP Quad Rear & 12 MP Front Camera,[NO] Memory Card Not Supported,Android v16,Dh5K9LAD,https://www.smartprix.com/mobiles/samsung-galaxy-s26-ultra-ppd1n43i34jv
pd1b4kvjys1,Poco X7 Pro 5G,23999,"₹23,999",-0.04685563,83,70,IN_STOCK,8688,13,"Dual Sim, 5G, VoLTE, NFC, Wi-Fi, IR Blaster","Dimensity 8400 Ultra, Octa Core, 3.25 GHz Processor","8 GB RAM, 256 GB inbuilt",6550 mAh Battery with 90W Fast Charging,"6.67 inches, 1220 x 2712 px, 120 Hz Display with Punch Hole",50 MP + 8 MP Dual Rear & 20 MP Front Camera,Android v15,[NO] No FM Radio,IyZAVa80,https://www.smartprix.com/mobiles/poco-x7-pro-ppd1b4kvjys1
pd1aage1z7d,OnePlus Nord 5 5G,33999,"₹33,999",0.0,95,76,IN_STOCK,686,13,"Dual Sim, 5G, VoLTE, NFC, Wi-Fi, IR Blaster","Snapdragon 8s Gen3, Octa Core, 3 GHz Processor","8 GB RAM, 256 GB inbuilt",6800 mAh Battery with 80W Fast Charging,"6.83 inches, 1272 x 2800 px, 144 Hz Display with Punch Hole",50 MP + 8 MP Dual Rear & 50 MP Front Camera,Android v15,[NO] No FM Radio,NwbKpgFL,https://www.smartprix.com/mobiles/oneplus-nord-5-ppd1aage1z7d
pd148hlq66d,Xiaomi Redmi 14C 5G,9499,"₹9,499",-0.025207609,88,53,IN_STOCK,687,13,"Dual Sim, 5G, VoLTE, Wi-Fi","Snapdragon 4 Gen2, Octa Core, 2.2 GHz Processor","4 GB RAM, 64 GB inbuilt",5160 mAh Battery with 18W Fast Charging,"6.88 inches, 720 x 1640 px, 120 Hz Display with Water Drop Notch",50 MP Dual Rear & 8 MP Front Camera,"Memory Card Supported, upto 1 TB",Android v14,hN2S5HCD,https://www.smartprix.com/mobiles/xiaomi-redmi-14c-5g-ppd148hlq66d
pd1o8zc4lqh,Motorola Moto G45 5G (8GB RAM + 128GB),12269,"₹12,269",0.04404971,83,55,UNKNOWN,4,13,"Dual Sim, 5G, VoLTE, Wi-Fi","Snapdragon 6s Gen3, Octa Core, 2.3 GHz Processor","8 GB RAM, 128 GB inbuilt",5000 mAh Battery with 20W Fast Charging,"6.5 inches, 720 x 1600 px, 120 Hz Display with Punch Hole",50 MP + 2 MP Dual Rear & 16 MP Front Camera,"Memory Card (Hybrid), upto 1 TB",Android v14,k0VBNJ9z,https://www.smartprix.com/mobiles/motorola-moto-g45-5g-8gb-ram-128gb-ppd1o8zc4lqh
pd16y6msqww,Oppo Find X9 Ultra,139999,"₹1,39,999",0.0,80,94,UPCOMING,68,13,"Dual Sim, 5G, VoLTE, NFC, eSIM, Wi-Fi, IR Blaster","Snapdragon 8 Elite Gen5, Octa Core, 4.6 GHz Processor","12 GB RAM, 256 GB inbuilt",7050 mAh Battery with 100W Fast Charging,"6.82 inches, 1440 x 3168 px, 144 Hz Display with Punch Hole",200 MP Quad Rear & 50 MP Front Camera,Android v16,[NO] No FM Radio,gvZgwlkk,https://www.smartprix.com/mobiles/oppo-find-x9-ultra-ppd16y6msqww
pd1ayt2rms2,Motorola Edge 70 Pro,38999,"₹38,999",0.56742704,84,81,ON_SALE,4,13,"Dual Sim, 5G, VoLTE, Vo5G, NFC, Wi-Fi","Dimensity 8500 Extreme, Octa Core, 3.4 GHz Processor","8 GB RAM, 256 GB inbuilt",6500 mAh Battery with 90W Fast Charging,"6.8 inches, 1272 x 2772 px, 144 Hz Display with Punch Hole",50 MP + 50 MP Dual Rear & 50 MP Front Camera,Android v16,[NO] No FM Radio,GEuVMqyn,https://www.smartprix.com/mobiles/motorola-edge-70-pro-ppd1ayt2rms2
pd10ss8kmvt,Samsung Galaxy S25 5G,74999,"₹74,999",-6.5510845,87,79,UNKNOWN,2,13,"Dual Sim, 5G, VoLTE, Vo5G, NFC, eSIM, Wi-Fi","Snapdragon 8Elite, Octa Core, 4.47 GHz Processor","12 GB RAM, 256 GB inbuilt",4000 mAh Battery with 25W Fast Charging,"6.2 inches, 1080 x 2340 px, 120 Hz Display with Punch Hole",50 MP + 12 MP + 10 MP Triple Rear & 12 MP Front Camera,Android v15,[NO] No FM Radio,00AvQBo9,https://www.smartprix.com/mobiles/samsung-galaxy-s25-ppd10ss8kmvt
pd1rp9hpzz8,Vivo V70 FE,37999,"₹37,999",-1.9497422,88,77,ON_SALE,5921,13,"Dual Sim, 5G, VoLTE, NFC, Wi-Fi, IR Blaster","Dimensity 7360 Turbo, Octa Core, 2.5 GHz Processor","8 GB RAM, 128 GB inbuilt",7000 mAh Battery with 90W Fast Charging,"6.83 inches, 1260 x 2800 px, 120 Hz Display with Punch Hole",200 MP + 8 MP Dual Rear & 50 MP Front Camera,[NO] Memory Card Not Supported,Android v16,GzTfuXmT,https://www.smartprix.com/mobiles/vivo-v70-fe-ppd1rp9hpzz8
pd1r4h604a1,Nothing Phone 3a,24999,"₹24,999",-0.049613398,85,67,UNKNOWN,8958,13,"Dual Sim, 5G, VoLTE, NFC, Wi-Fi","Snapdragon 7s Gen3, Octa Core, 2.5 GHz Processor","8 GB RAM, 128 GB inbuilt",5000 mAh Battery with 50W Fast Charging,"6.77 inches, 1080 x 2392 px, 120 Hz Display with Punch Hole",50 MP + 50 MP + 8 MP Triple Rear & 32 MP Front Camera,Android v15,[NO] No FM Radio,8yv97mD0,https://www.smartprix.com/mobiles/nothing-phone-3a-ppd1r4h604a1
pd15xmq8xnc,Samsung Galaxy A18 5G,20999,"₹20,999",0.0,84,55,RUMORED,2,13,"Dual Sim, 5G, VoLTE, NFC, Wi-Fi",Octa Core Processor,"6 GB RAM, 128 GB inbuilt",6000 mAh Battery with 25W Fast Charging,"6.74 inches, 1080 x 2340 px, 90 Hz Display with Water Drop Notch",50 MP + 5 MP + 2 MP Triple Rear & 16 MP Front Camera,"Memory Card (Hybrid), upto 2 TB",Android v16,eUOQ7yAg,https://www.smartprix.com/mobiles/samsung-galaxy-a18-5g-ppd15xmq8xnc
pd19xtiir04,Motorola Razr Fold,149999,"₹1,49,999",0.0,80,98,ON_SALE,4,13,"Dual Sim, 5G, VoLTE, NFC, eSIM, Wi-Fi","Snapdragon 8 Gen5, Octa Core, 3.8 GHz Processor","12 GB RAM, 256 GB inbuilt",6000 mAh Battery with 80W Fast Charging,"8.09 inches, 2232 x 2484 px, 120 Hz Display with Punch Hole","Foldable Display, Dual Display",50 MP + 50 MP + 50 MP Triple Rear & 32 MP + 20 MP Dual Front Camera,[NO] Memory Card Not Supported,DWpAZI9v,https://www.smartprix.com/mobiles/motorola-razr-fold-ppd19xtiir04
pd17x0i8s8k,Samsung Galaxy M37 5G,17990,"₹17,990",0.0,88,58,UPCOMING,2,13,"Dual Sim, 5G, VoLTE, NFC, Wi-Fi",Octa Core Processor,"8 GB RAM, 128 GB inbuilt",5000 mAh Battery with 45W Fast Charging,"6.67 inches, 1080 x 2400 px, 120 Hz Display with Punch Hole",50 MP + 8 MP + 2 MP Triple Rear & 16 MP Front Camera,"Memory Card (Hybrid), upto 1 TB",Android v16,2WUf3VQ1,https://www.smartprix.com/mobiles/samsung-galaxy-m37-5g-ppd17x0i8s8k
pd10zikc9c0,Poco M7 Pro 5G,14999,"₹14,999",-1.8386447,80,61,IN_STOCK,8688,13,"Dual Sim, 5G, VoLTE, Wi-Fi, IR Blaster","Dimensity 7025 Ultra, Octa Core, 2.5 GHz Processor","6 GB RAM, 128 GB inbuilt",5110 mAh Battery with 45W Fast Charging,"6.67 inches, 1080 x 2400 px, 120 Hz Display with Punch Hole",50 MP + 2 MP Dual Rear & 20 MP Front Camera,"Memory Card (Hybrid), upto 1 TB",Android v14,ykjHe9g0,https://www.smartprix.com/mobiles/poco-m7-pro-5g-ppd10zikc9c0
pd1vt10tmy2,Infinix Note 60 Ultra,31990,"₹31,990",0.0,93,83,UPCOMING,7076,13,"Dual Sim, 5G, VoLTE, NFC, eSIM, Wi-Fi, IR Blaster","Dimensity 8400 Ultimate, Octa Core, 3.25 GHz Processor","12 GB RAM, 256 GB inbuilt",7000 mAh Battery with 100W Fast Charging,"6.78 inches, 1208 x 2644 px, 144 Hz Display with Punch Hole",200 MP + 50 MP + 8 MP Triple Rear & 32 MP Front Camera,"Memory Card Supported, upto 1 TB",Android v16,hkb7Wii1,https://www.smartprix.com/mobiles/infinix-note-60-ultra-ppd1vt10tmy2
pd1ddiuq6m5,Oppo Find X9 5G,67999,"₹67,999",6.5293345,80,89,IN_STOCK,68,13,"Dual Sim, 5G, VoLTE, NFC, Wi-Fi, IR Blaster","Dimensity 9500, Octa Core, 4.21 GHz Processor","12 GB RAM, 256 GB inbuilt",7025 mAh Battery with 80W Fast Charging,"6.59 inches, 1256 x 2760 px, 120 Hz Display with Punch Hole",50 MP + 50 MP + 50 MP Triple Rear & 32 MP Front Camera,Android v16,[NO] No FM Radio,f5e41yyD,https://www.smartprix.com/mobiles/oppo-find-x9-5g-ppd1ddiuq6m5
pd1kq6wmua1,OnePlus 15,72999,"₹72,999",0.0,90,94,IN_STOCK,686,13,"Dual Sim, 5G, VoLTE, Vo5G, NFC, eSIM, Wi-Fi, IR Blaster","Snapdragon 8 Elite Gen 5, Octa Core, 4.6 GHz Processor","12 GB RAM, 256 GB inbuilt",7300 mAh Battery with 120W Fast Charging,"6.78 inches, 1272 x 2772 px, 165 Hz Display with Punch Hole",50 MP + 50 MP + 50 MP Triple Rear & 32 MP Front Camera,[NO] Memory Card Not Supported,Android v16,Ae49sioe,https://www.smartprix.com/mobiles/oneplus-15-ppd1kq6wmua1
pd13ud9i0lb,Samsung Galaxy A17 5G,18950,"₹18,950",0.47189984,82,58,UNKNOWN,2,13,"Dual Sim, 5G, VoLTE, NFC, Wi-Fi","Exynos 1330, Octa Core, 2.4 GHz Processor","6 GB RAM, 128 GB inbuilt",5000 mAh Battery with 25W Fast Charging,"6.7 inches, 1080 x 2340 px, 90 Hz Display with Water Drop Notch",50 MP + 5 MP + 2 MP Triple Rear & 13 MP Front Camera,"Memory Card (Hybrid), upto 2 TB",Android v15,eUOQ7yAg,https://www.smartprix.com/mobiles/samsung-galaxy-a17-ppd13ud9i0lb
pd1tkery1ow,Vivo V60 5G,35999,"₹35,999",2.1540549,93,77,IN_STOCK,5921,13,"Dual Sim, 5G, VoLTE, NFC, Wi-Fi, IR Blaster","Snapdragon 7 Gen4, Octa Core, 2.8 GHz Processor","8 GB RAM, 128 GB inbuilt",6500 mAh Battery with 90W Fast Charging,"6.77 inches, 1080 x 2392 px, 120 Hz Display with Punch Hole",50 MP + 50 MP + 8 MP Triple Rear & 50 MP Front Camera,[NO] Memory Card Not Supported,Android v15,kNiojeoI,https://www.smartprix.com/mobiles/vivo-v60-5g-ppd1tkery1ow
pd1djodi6ao,Poco X8 Pro 5G,31999,"₹31,999",2.9277415,93,76,ON_SALE,8688,13,"Dual Sim, 5G, VoLTE, Wi-Fi, IR Blaster","Dimensity 8500 Ultra, Octa Core, 3.4 GHz Processor","8 GB RAM, 256 GB inbuilt",6500 mAh Battery with 100W Fast Charging,"6.59 inches, 2756 x 1268 px, 120 Hz Display with Punch Hole",50 MP + 8 MP Dual Rear & 20 MP Front Camera,Android v16,[NO] No FM Radio,b81bH087,https://www.smartprix.com/mobiles/poco-x8-pro-5g-ppd1djodi6ao
pd19zprog0q,Motorola Edge 70 5G,28149,"₹28,149",5.483042,86,75,UNKNOWN,4,13,"Dual Sim, 5G, VoLTE, Vo5G, NFC, Wi-Fi","Snapdragon 7 Gen4, Octa Core, 2.8 GHz Processor","8 GB RAM, 256 GB inbuilt",5000 mAh Battery with 68W Fast Charging,"6.7 inches, 1220 x 2712 px, 120 Hz Display with Punch Hole",50 MP + 50 MP Dual Rear & 50 MP Front Camera,Android v16,[NO] No FM Radio,Ov7GzPlQ,https://www.smartprix.com/mobiles/motorola-edge-70-5g-ppd19zprog0q
pd186aae1n5,Vivo T4 5G,24085,"₹24,085",1.0600493,83,67,UNKNOWN,5921,13,"Dual Sim, 5G, VoLTE, Wi-Fi, IR Blaster","Snapdragon 7s Gen3, Octa Core, 2.5 GHz Processor","8 GB RAM, 128 GB inbuilt",7300 mAh Battery with 90W Fast Charging,"6.77 inches, 1080 x 2392 px, 120 Hz Display with Punch Hole",50 MP + 2 MP Dual Rear & 32 MP Front Camera,[NO] Memory Card Not Supported,Android v15,84PZIN9q,https://www.smartprix.com/mobiles/vivo-t4-ppd186aae1n5
